time;cpu0;avg_rtt;avg_rtt_a1;avg_rtt_a2;avg_upstream;avg_loss;avg_loss_a1;avg_loss_a2;#robots;#r_act1;#r_act2
1639650503.638;1311250.26;122.97;26.86;219.08;1.54;0.01;0.02951;0.0;10;5;5
1639650518.64;1311256.53;123.23;27.12;219.34;1.63;0.02;0.0343;0.0;10;5;5
1639650533.64;1311262.6;123.23;27.28;219.18;1.48;0.02;0.03346;0.0;10;5;5
1639650548.639;1311266.78;122.81;26.42;219.2;1.63;0.02;0.03249;0.0;10;5;5
1639650563.64;1311269.16;123.41;27.54;219.28;1.9;0.02;0.03408;0.0;10;5;5
1639650578.64;1311269.16;123.57;27.86;219.28;1.5;0.02;0.03543;0.0;10;5;5
1639650593.641;1311273.13;123.08;26.96;219.2;1.75;0.02;0.04454;0.0;10;5;5
1639650608.641;1311278.64;131.54;27.36;218.35;1.5;0.02;0.0474;0.0;11;5;6
1639650623.642;1311284.2;131.53;27.0;218.63;1.55;0.02;0.04792;0.0;11;5;6
1639650638.642;1311289.39;131.57;27.24;218.52;1.27;0.02;0.04862;0.0;11;5;6
1639650653.642;1311292.86;131.02;26.72;217.93;1.5;0.02;0.04802;0.0;11;5;6
1639650668.642;1311298.21;131.37;26.8;218.52;1.49;0.02;0.04905;0.0;11;5;6
1639650683.643;1311303.36;131.32;26.74;218.47;1.49;0.02;0.04897;0.0;11;5;6
1639650698.643;1311308.6;131.61;27.02;218.77;1.22;0.02;0.04923;0.0;11;5;6
1639650713.645;1311313.82;131.5;26.84;218.72;1.49;0.02;0.04866;0.0;11;5;6
1639650728.645;1311319.15;131.12;26.4;218.38;1.42;0.02;0.04919;0.0;11;5;6
1639650743.645;1311324.36;131.14;26.12;218.65;1.62;0.02;0.05001;0.0;11;5;6
1639650758.646;1311329.73;131.1;26.56;218.22;1.56;0.02;0.04942;0.0;11;5;6
1639650773.647;1311334.99;131.48;27.52;218.12;1.61;0.02;0.04869;0.0;11;5;6
1639650788.647;1311340.13;131.45;27.18;218.33;1.65;0.02;0.04779;0.0;11;5;6
1639650803.648;1311345.4;131.35;26.84;218.43;1.6;0.02;0.04973;0.0;11;5;6
1639650818.648;1311350.62;131.52;27.14;218.5;1.58;0.02;0.04966;0.0;11;5;6
1639650833.649;1311355.77;131.15;26.24;218.58;1.56;0.02;0.04926;0.0;11;5;6
1639650848.649;1311359.39;131.09;26.74;218.05;1.55;0.02;0.05035;0.0;11;5;6
1639650863.649;1311361.15;131.33;26.54;218.65;1.87;0.02;0.04975;0.0;11;5;6
1639650878.651;1311361.17;131.37;27.18;218.2;1.62;0.02;0.05356;0.0;11;5;6
1639650893.649;1311361.79;131.06;26.86;217.9;1.81;0.03;0.05564;0.0;11;5;6
1639650908.65;1311366.3;122.7;26.37;219.03;1.7;0.03;0.05569;0.0;12;5;6
1639650923.65;1311370.72;123.17;27.37;218.97;1.48;0.02;0.04878;0.0;12;6;6
1639650938.651;1311375.24;123.82;28.32;219.32;1.6;0.03;0.05408;0.0;12;6;6
1639650953.65;1311379.62;122.98;26.63;219.32;1.56;0.04;0.07271;0.0;12;6;6
1639650968.65;1311384.01;122.55;25.95;219.15;1.43;0.03;0.06718;0.0;12;6;6
1639650983.651;1311388.61;122.71;26.13;219.28;1.56;0.03;0.0628;0.0;12;6;6
1639650998.653;1311392.99;122.81;26.68;218.93;1.74;0.03;0.06086;0.0;12;6;6
